crew_E2,crew_E3,crew_E4,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_2,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_3,day_30,day_31,day_4,day_5,day_6,day_7,day_8,day_9,distance,distance_down,distance_down_level,distance_up,distance_up_level,lift_down,lift_down_level,lift_up,lift_up_level,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,pay_original,shift_B,travel_time,year_2023,year_2024,total_des,efectivo_des,mantencion_des,mecanica_des,electrica_des,mant_excl_des,mec_excl_des,elec_excl_des,som_excl_des,demora_des,r_prog_des,r_noprg_des,waiting_des,queued_des,payload_des,expected_time_des,CAT 797-F_des,CAT 798-AC_des,KOM-CHQ_des,KOM.960E5_des,Kom.930E-4_des,Kom.930E-4SE_des,Kom.930EN_des,Kom.930ER_des,Kom.930ER-MT_des,Kom.980E5_des,Komatsu AHS_des
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11601611789739913,-1.5452225379333437,0.9968305353386184,-1.5807981844301937,1.4083637356587733,0.7196325094294794,-1.0128675668681935,-0.49516034802457665,0.5521480428244875,False,False,False,False,False,False,False,False,False,False,False,182896.71412277222,False,-0.544146414208892,False,False,-2.6552920158268893,-0.004485261848209289,-0.28565698596445566,-1.8624405241907602,-0.7210302517388012,0.0704559986506733,-0.49450198784062105,-0.3834163739911355,-0.5427904156108916,1.5011896135625136,1.0401519838890232,0.1910756035027198,1.3357292189562036,1.5542863142807228,2.694036916751417,-0.7062669283572812,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6093784415191739,-1.398920265658415,0.4987813315942151,-1.292116883048163,0.8911835939939953,0.7660701498204567,-0.598140908951638,-0.2139515294605084,0.4208079627648692,False,False,False,False,False,False,False,False,False,False,False,177821.82199335098,True,0.4098114370810805,False,False,-2.609231124498187,-0.15011948603874356,0.26741209208211864,-2.0685337624179563,-0.30254817520099286,-0.2755402461283124,-0.1636884899166295,-0.6573575319580678,0.012993567759920785,0.8215002978849957,2.0565395847330388,-0.28695018905389696,1.7575966339856568,0.7816101709452798,2.4111049645564826,-0.7953275688977532,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.23170254845296132,-1.1581334439026592,0.5783899524861444,-1.2662813238171002,0.9863240977761111,0.7913394388346112,-0.47308931684332245,-0.718467813746002,0.21035311200509868,False,False,False,False,False,False,False,False,False,False,False,184522.75209140778,False,0.3017722025329989,False,False,-2.701352907155591,-0.8707956443130572,0.905168130702744,-2.187624647217792,-0.9835023418320397,-0.3972257326661338,-0.1445252117448605,1.6138262309074078,0.21547865201645752,1.5549878313488912,1.1786751669703794,0.19831730773704373,0.7000167454321637,-1.0201073236163276,2.034113072912946,-0.7745795770413203,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.5202639227077684,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.2277423579766914,-0.7893561777980505,1.019510013243016,-1.0296510526002602,1.0155656038532357,-1.172045499529546,-1.0403233386466413,1.0700663984376877,0.5992344773499557,False,False,False,False,False,False,False,False,False,False,False,169636.14100694656,True,0.792862624647292,False,False,-2.6552920158268893,-0.38493455320473396,0.5955685632481541,-2.238718075844363,0.22116142318824397,-0.7512382251364736,-0.35175422386466026,0.30546774177257735,0.2609293907407076,0.02384704185911532,2.0048559412318916,0.4256774954583213,2.086781823473654,-1.596528865643379,1.7794733255006334,-0.5799125739777352,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.6070622795758094,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.24381723434542082,-1.4081481022192626,0.4532706171972121,-1.4575629577536857,1.381424350778506,0.8322549006055479,-0.6258189946716117,-0.766680304548453,0.3407371223281592,False,False,False,False,False,False,False,False,False,False,False,160945.39898872375,False,-0.13364810738531843,False,False,-2.6552920158268893,-0.3474922559200095,0.5950111226623557,-2.3936208155575174,-0.9627202149118319,0.28121410791724605,-0.3730906572930216,0.4364066444520581,0.515131149729433,0.8606470290001456,1.026223913405203,0.26565130908791185,1.0549230879248368,-1.5920216232437228,2.1157017820040704,-0.5325711985194449,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.24563770198656912,-1.2584671404658287,1.068556140676417,-1.2530954172177184,0.8521783123989098,-0.35246528649191644,-1.2046133414342772,0.3037130755813681,0.31241355638263646,False,False,False,False,False,False,False,False,False,False,False,160596.6180677414,True,-0.18249523345101618,False,False,-2.6552920158268893,0.09846615246904519,0.5405139706560159,-1.9943723683902987,0.4169249435039441,0.5673191783978774,-1.1440888255245547,-0.5434528105993898,0.3492314128525811,-0.18336875954972254,1.154503336365579,0.19813809795846654,1.608282302862054,-1.5856188116105665,1.3687454350117565,-0.28111057536319567,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.057106651469038656,-1.541507652125542,1.4331027523055166,-1.7164344795376119,1.5635296105214367,-0.0036476703260115003,-1.1854943424630502,-0.04606673224383626,1.1039197895353678,False,False,False,False,False,False,False,False,False,False,False,158409.59999895096,False,0.08671412488429976,False,False,-2.6552920158268893,-0.7057926590144602,0.7440824708961175,-1.1424662352567738,-0.9835023418320397,1.1304461610038288,-1.0880367856487103,-0.06679883292866874,-0.06793008767593807,1.8739228973021307,0.46548564930381414,-0.31692709747044606,1.142744623134701,-1.4127850212760888,0.9326754071354777,-0.7700337973685809,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-2.159796080617233,-1.9839972178923866,-0.36416296646332075,-1.7174116186915855,0.1976348128996458,0.7053449679204853,0.097145943170596,-0.544157458329669,0.5521480428244875,False,False,False,False,False,False,False,False,False,False,False,110878.46605920792,True,-2.9702281792464382,False,False,-2.6552920158268893,-0.4600088250653923,-0.6301405984987432,-0.03136963544954951,0.20079082353378286,-0.7411169915405553,-0.698976141529084,-0.31224865559034365,-0.4572921728359037,-0.1932259467327483,0.8755631658107524,0.14913236941662977,1.3486910598404498,-1.9303175457823993,0.9151748409448598,-0.5867713196300549,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.20868844601949402,-1.160714294331042,0.9350338761515308,-1.7178571941457976,1.2513057206059066,0.7028906663115783,-1.1683761689655563,-0.7658421882615408,1.0287488064985164,False,False,False,False,False,False,False,False,False,False,False,145894.17806959152,False,0.4482994739358876,False,False,-2.609231124498187,-0.7254594844372805,-0.6194905494121744,0.6220355113696706,-0.8163399664857345,-1.0857003005753814,-1.091274567470401,0.2905552556340809,0.43140371495668856,0.5409196278373709,-0.22742294496356685,-0.24845267025590487,0.600068800488796,-1.0178326405361273,0.8054381776975029,-0.9623935596159016,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1.0530599303387764,-1.8970929756969976,0.6114227385193897,-1.8760349169684027,0.8279697124009382,-0.3372636428530742,-0.9370585128078636,0.060950612646723336,1.2849754958959883,False,False,False,False,False,False,False,False,False,False,False,121978.62696790695,True,-1.9656927684683407,False,False,-2.839535581141697,-1.7299904186819661,-1.6603641484996148,-0.0073101704835836145,1.0279606276846285,-1.5232778499145854,-1.2683867208826782,-0.6573575319580678,1.1720441618950366,1.2770393257261616,0.3153241774127391,1.214795171826897,-0.41824582397980264,-1.95361198547408,-1.5795023554163063,-2.8528024103474574,-3.276360005505742,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.47686474427374803,2.2776913366800446,0.10172664249857938,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378
