,total,efectivo,mantencion,mecanica,electrica,mant_excl,mec_excl,elec_excl,som_excl,demora,r_prog,r_noprg,waiting,queued,payload,distance,distance_down,distance_down_level,distance_up,distance_up_level,expected_time,lift_down,lift_down_level,lift_up,lift_up_level,travel_time,CAT 797-F,CAT 798-AC,KOM-CHQ,KOM.960E5,Kom.930E-4,Kom.930E-4SE,Kom.930EN,Kom.930ER,Kom.930ER-MT,Kom.980E5,Komatsu AHS,truck_avail
mean,4437530.748564135,2909882.6381620932,214850.86534779833,483912.3165283982,23898.837906828336,55319.616464582,151162.94639438417,10843.92980216975,134217.32673899172,106212.26738991703,190099.66624122526,157130.3375877473,135978.94511806,59836.91001914486,142357.4639507874,12883534.29546905,3079417.3880025526,2148701.4881940014,3208649.781748564,4348710.908104658,2015843.8832163368,-321893.3956604978,-52840.952776005106,323724.0095724314,52597.85130823229,2948115.0721123167,275.68474792597317,0.9821314613911933,8.95405232929164,3.7428206764518186,95.90172303765156,382.01212507977027,56.43139757498405,239.8781110402042,0.005105296745373325,142.7523931078494,26.330567964262922,0.7579865128663573
std,78182.36117382563,184582.8404729845,68190.46164667448,144272.02543194446,24307.483783168173,34690.63802873441,91140.84587415309,16501.509489493706,88123.5008439161,74487.20451489491,58102.68271705315,122800.3478345495,39513.17195631539,23747.149261328,19936.05577427206,1026437.5408768023,598055.8039517897,355941.8894550196,639826.4961667839,963766.8354304028,174723.26616212985,159770.55886078492,8999.158820009552,168288.11726358422,8370.26167106601,212731.3731257356,33.182996860374914,4.605059941321788,15.562191218121976,7.406865612019347,0.5134620352905989,23.049266597700683,17.377786631914212,1.1985834574165968,0.14285708464128594,3.6073155879211956,22.947782996205532,0.03961175827946711
