payload,year_2023,year_2024,month_3,month_5,month_6,month_7,month_8,month_9,month_10,month_11,day_2,day_3,day_4,day_5,day_6,day_10,day_11,day_13,day_15,day_16,day_17,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_30,day_31,shift_B,crew_E2,crew_E3,crew_E4,efectivo,mantencion,mecanica,electrica,mant_excl,mec_excl,demora,r_noprg,waiting,queued,distance_down_level,distance_up,distance_up_level,expected_time,lift_down,lift_down_level,lift_up,lift_up_level,travel_time,CAT 797-F,CAT 798-AC,KOM-CHQ,KOM.960E5,Kom.930E-4,Kom.930E-4SE,Kom.930ER-MT,Kom.980E5,Komatsu AHS,truck_avail,payload_validation
196048.79409122467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.004485261848209289,-0.28565698596445566,-1.8624405241907602,-0.7210302517388012,0.0704559986506733,-0.49450198784062105,1.5011896135625136,0.1910756035027198,1.3357292189562036,1.5542863142807228,1.3287912056664182,-1.6714673173830685,1.5226820092129059,-0.7062669283572812,0.7947954962022558,-1.539195823430748,-0.6943942608240532,0.7061947791273518,-0.9920136188803766,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.841171158392435,1
190410.04699087143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.15011948603874356,0.26741209208211864,-2.0685337624179563,-0.30254817520099286,-0.2755402461283124,-0.1636884899166295,0.8215002978849957,-0.28695018905389696,1.7575966339856568,0.7816101709452798,1.2641926332859372,-1.455492986169908,1.1442394401998544,-0.7953275688977532,-0.4513260579323278,-1.3898008547253469,0.31509600245680813,0.8793629101613709,-0.26154500590870244,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.8222368669690098,1
182896.71412277225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8707956443130572,0.905168130702744,-2.187624647217792,-0.9835023418320397,-0.3972257326661338,-0.1445252117448605,1.5549878313488912,0.19831730773704373,0.7000167454321637,-1.0201073236163276,0.9968305353386184,-1.5807981844301937,1.4083637356587733,-0.7745795770413203,0.7196325094294794,-1.0128675668681935,-0.49516034802457665,0.5521480428244875,-0.544146414208892,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.5202639227077684,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.8071266325951164,1
177821.82199335098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.38493455320473396,0.5955685632481541,-2.238718075844363,0.22116142318824397,-0.7512382251364736,-0.35175422386466026,0.02384704185911532,0.4256774954583213,2.086781823473654,-1.596528865643379,0.4987813315942151,-1.292116883048163,0.8911835939939953,-0.5799125739777352,0.7660701498204567,-0.598140908951638,-0.2139515294605084,0.4208079627648692,0.4098114370810805,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.6070622795758094,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.8186236406619385,1
184522.75209140775,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3474922559200095,0.5950111226623557,-2.3936208155575174,-0.9627202149118319,0.28121410791724605,-0.3730906572930216,0.8606470290001456,0.26565130908791185,1.0549230879248368,-1.5920216232437228,0.5783899524861444,-1.2662813238171002,0.9863240977761111,-0.5325711985194449,0.7913394388346112,-0.47308931684332245,-0.718467813746002,0.21035311200509868,0.3017722025329989,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.8169054373522459,1
169636.14100694656,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.09846615246904519,0.5405139706560159,-1.9943723683902987,0.4169249435039441,0.5673191783978774,-1.1440888255245547,-0.18336875954972254,0.19813809795846654,1.608282302862054,-1.5856188116105665,1.019510013243016,-1.0296510526002602,1.0155656038532357,-0.28111057536319567,-1.172045499529546,-1.0403233386466413,1.0700663984376877,0.5992344773499557,0.792862624647292,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.8177829787234042,1
160945.39898872375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.7057926590144602,0.7440824708961175,-1.1424662352567738,-0.9835023418320397,1.1304461610038288,-1.0880367856487103,1.8739228973021307,-0.31692709747044606,1.142744623134701,-1.4127850212760888,0.4532706171972121,-1.4575629577536857,1.381424350778506,-0.7700337973685809,0.8322549006055479,-0.6258189946716117,-0.766680304548453,0.3407371223281592,-0.13364810738531843,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7945056737588653,1
160596.6180677414,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.4600088250653923,-0.6301405984987432,-0.03136963544954951,0.20079082353378286,-0.7411169915405553,-0.698976141529084,-0.1932259467327483,0.14913236941662977,1.3486910598404498,-1.9303175457823993,1.068556140676417,-1.2530954172177184,0.8521783123989098,-0.5867713196300549,-0.35246528649191644,-1.2046133414342772,0.3037130755813681,0.31241355638263646,-0.18249523345101618,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.563663101141789,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7879947990543735,1
158409.59999895096,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7254594844372805,-0.6194905494121744,0.6220355113696706,-0.8163399664857345,-1.0857003005753814,-1.091274567470401,0.5409196278373709,-0.24845267025590487,0.600068800488796,-1.0178326405361273,1.4331027523055166,-1.7164344795376119,1.5635296105214367,-0.9623935596159016,-0.0036476703260115003,-1.1854943424630502,-0.04606673224383626,1.1039197895353678,0.08671412488429976,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,0.1914617419096064,0.6070622795758094,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7620060941043084,1
145894.17806959152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8515948830914942,-0.7291596499234521,0.525381637702361,0.08342324734282705,-1.5644548344586633,-1.1017562001473995,0.6191593724263463,-0.6148796461530862,0.5618161802229832,-1.7906772789145482,0.9350338761515308,-1.7178571941457976,1.2513057206059066,-0.986387719072389,0.7028906663115783,-1.1683761689655563,-0.7658421882615408,1.0287488064985164,0.4482994739358876,-3.2462144692825974,-0.21334032640491596,-0.5755558867206325,2.735792325966996,-1.7567236449238688,0.6070622795758094,-0.035748500270158134,-2.9816702679631955,-0.10159203443858378,0.7453388746803069,1
