,mean,std
total,4412624.369272238,79972.67910507107
efectivo,2909345.6482479787,167319.12342092607
mantencion,204033.22911051213,67703.08332249381
mecanica,447554.85579514824,139972.90792863962
electrica,23413.206199460918,22217.768861099707
mant_excl,58960.580862533694,35000.90923547439
mec_excl,107810.01886792453,75753.55053533462
elec_excl,10858.238544474394,16566.559784767145
som_excl,176502.30592991915,72068.79965097934
demora,138323.59973045823,76778.30623937999
r_prog,192005.3194070081,52972.13229659194
r_noprg,143817.36657681942,90547.72871377318
payload,159417.36850506795,12869.962563811692
CAT 797-F,264.58490566037733,42.980115776371896
CAT 798-AC,0.03234501347708895,0.8810677178572228
KOM-CHQ,3.638814016172507,10.85887897403092
KOM.960E5,6.880053908355795,8.948369282590141
Kom.930E-4,95.911051212938,0.44102900785295013
Kom.930E-4SE,369.6644204851752,17.52474405282858
Kom.930EN,63.95013477088949,21.28836633333817
Kom.930ER,239.90296495956872,0.7938813560019459
Kom.930ER-MT,0.0,0.0
Kom.980E5,141.76819407008085,4.64213661601489
Komatsu AHS,39.4177897574124,16.171253095761696
truck_avail,0.7667875638281784,0.03442107396979484
