year_2023,year_2024,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,shift_B,crew_E2,crew_E3,crew_E4,total,efectivo,mantencion,mecanica,electrica,mant_excl,mec_excl,elec_excl,som_excl,demora,r_prog,r_noprg,waiting,queued,payload,distance,distance_down,distance_down_level,distance_up,distance_up_level,expected_time,lift_down,lift_down_level,lift_up,lift_up_level,travel_time,CAT 797-F,CAT 798-AC,KOM-CHQ,KOM.960E5,Kom.930E-4,Kom.930E-4SE,Kom.930EN,Kom.930ER,Kom.930ER-MT,Kom.980E5,Komatsu AHS
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4222800.0,2752743.0,165145.0,559686.0,25926.0,1065.0,50780.0,17633.0,255148.0,152317.0,160710.0,81647.0,158171,17327,145894.17806959152,12669397,2385467,2481413,2109870,5554293,1843554,-209628,-63352,194883,61206,3043452,168.0,0.0,0.0,24.0,95.0,396.0,96.0,238.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4215600.0,2724004.0,159503.0,437197.0,19502.0,7096.0,169748.0,0.0,208823.0,168021.0,213899.0,107807.0,143505,19332,121978.62696790695,11802979,1945212,2366263,2008696,5146426,1664876,-375761,-61271,333978,63350,2530084,167.0,0.0,0.0,24.0,96.0,392.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4233600.0,2726586.0,187093.0,449029.0,8310.0,47773.0,196764.0,19208.0,181592.0,139271.0,158991.0,118983.0,132323,26659,134593.45004844666,13012669,1980389,2870516,2006767,6016561,1857053,-327158,-72700,336277,76332,2736921,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4230000.0,2727263.0,143978.0,517003.0,68197.0,82373.0,127214.0,0.0,137519.0,147092.0,156506.0,122855.0,155322,44566,179265.94787216187,11676135,1648847,2391534,1713953,5773214,1702912,-251455,-59716,248417,62763,3076653,168.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4226400.0,2656975.0,144712.0,565570.0,90607.0,52274.0,118625.0,8717.0,242310.0,115257.0,134654.0,96699.0,177227,42268,176893.53397750854,11603845,1694732,2422494,1828334,5484820,1708103,-150317,-58661,164617,59618,2699016,167.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4222800.0,2690822.0,109297.0,523769.0,53693.0,51098.0,70167.0,0.0,193945.0,229500.0,183374.0,117135.0,186679,37134,184370.81790590286,11149262,1773849,2301182,1793298,5101321,1639434,-347130,-55975,309908,53378,2525507,168.0,0.0,0.0,24.0,95.0,395.0,96.0,239.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4226400.0,2811857.0,149291.0,520449.0,16847.0,115107.0,66295.0,9604.0,104672.0,127575.0,211390.0,93313.0,169692,31289,177581.57522201538,11984637,2056076,2624643,1839357,5409446,1757434,-332318,-62277,339405,48271,2678695,168.0,0.0,0.0,24.0,96.0,395.0,96.0,239.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4233600.0,2872286.0,143742.0,422505.0,6040.0,82606.0,87428.0,0.0,114571.0,238122.0,185471.0,80829.0,197780,46714,179563.31384944916,11491698,1774439,2443846,1735441,5443384,1703073,-214670,-59172,202145,51879,2606835,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4226400.0,2870825.0,190692.0,483504.0,0.0,69146.0,101644.0,25345.0,125617.0,145958.0,144650.0,69019.0,189585,55871,180433.49483680725,11696747,1941570,2285322,1857859,5503248,1719765,-285795,-54648,285181,46499,2664690,168.0,0.0,0.0,24.0,96.0,394.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4233600.0,2742154.0,142602.0,541166.0,19281.0,84965.0,83426.0,0.0,108438.0,205904.0,173628.0,132036.0,185041,61720,180291.46295642853,10799893,1635808,2196417,1741255,5108766,1617731,-203804,-53451,184809,48681,2458940,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
